"edition_id","country_noc","participants"
23,"GRN",4
23,"GUA",17
23,"GUI",8
23,"GUM",24
23,"GUY",6
23,"HAI",7
23,"HKG",39
23,"HON",10
23,"HUN",187
23,"INA",41
23,"IND",40
23,"IOA",59
23,"IRI",41
23,"IRL",57
23,"IRQ",8
23,"ISL",15
23,"ISR",28
23,"ISV",22
23,"ITA",215
23,"IVB",2
23,"JAM",33
23,"JOR",7
23,"JPN",207
23,"KEN",49
23,"KOR",161
23,"KSA",10
23,"KUW",17
23,"LAO",6
23,"LAT",35
23,"LBA",5
23,"LBN",12
23,"LES",6
23,"LIE",7
23,"LTU",32
23,"LUX",6
23,"MAD",14
23,"MAR",31
23,"MAS",10
23,"MAW",4
23,"MDV",7
23,"MEX",97
23,"MGL",33
23,"MLI",5
23,"MLT",6
23,"MON",2
23,"MOZ",6
23,"MRI",12
23,"MTN",6
23,"MYA",4
23,"NAM",6
23,"NCA",8
23,"NED",127
23,"NEP",3
23,"NGR",41
23,"NIG",3
23,"NOR",57
23,"NZL",92
23,"OMA",5
23,"PAK",11
23,"PAN",5
23,"PAR",10
23,"PER",16
23,"PHI",29
23,"PNG",14
23,"POL",169
23,"POR",79
23,"PRK",66
23,"PUR",47
23,"QAT",10
23,"ROU",133
23,"RSA",85
23,"RWA",10
23,"SAM",5
23,"SEN",19
23,"SEY",11
23,"SGP",14
23,"SLE",9
23,"SLO",28
23,"SMR",15
23,"SOL",1
23,"SRI",11
23,"SUD",6
23,"SUI",98
23,"SUR",6
23,"SWE",145
23,"SWZ",6
23,"SYR",9
23,"TAN",9
23,"TCH",133
23,"TGA",5
23,"THA",39
23,"TOG",5
23,"TPE",19
23,"TTO",8
23,"TUN",15
23,"TUR",49
23,"UAE",17
23,"UGA",8
23,"URU",16
23,"USA",403
23,"VAN",6
23,"VEN",21
23,"VIE",7
23,"VIN",6
23,"YEM",9
23,"ZAM",9
23,"ZIM",17
